pf,9583,CRT,TRUE,'has-temporal-part',sk162,sk162,,,<--,662, BFO-boo-1, mpp,9512,,,,,,,
pf,9582,CRT,TRUE,entity,sk162,,,,<--,824, BFO-vgn-1, mpp,9513,,,,,,,
pf,9581,CRT,TRUE,identical,sk162,sk162,,,<--,351, BFO-xlu-1, mpp,9515,9515,,,,,,
pf,9580,CRT,TRUE,'has-occurrent-part',sk162,sk162,,,<--,346, BFO-yvi-1, mpp,9515,,,,,,,
pf,9579,CRT,TRUE,'has-temporal-part',sk17,sk144,,,<--,662, BFO-boo-1, mpp,9517,,,,,,,
pf,9578,CRT,TRUE,'has-temporal-part',sk144,sk144,,,<--,662, BFO-boo-1, mpp,9518,,,,,,,
pf,9577,CRT,TRUE,entity,sk144,,,,<--,824, BFO-vgn-1, mpp,9519,,,,,,,
pf,9576,CRT,TRUE,'exists-at',sk17,sk144,,,<--,356, BFO-ybr-1, mpp,9522,9520,,,,,,
pf,9575,CRT,TRUE,identical,sk144,sk144,,,<--,351, BFO-xlu-1, mpp,9521,9521,,,,,,
pf,9574,CRT,TRUE,'has-occurrent-part',sk144,sk144,,,<--,346, BFO-yvi-1, mpp,9521,,,,,,,
pf,9573,CRT,TRUE,'has-occurrent-part',sk17,sk144,,,<--,346, BFO-yvi-1, mpp,9522,,,,,,,
pf,9572,CRT,TRUE,'has-temporal-part',sk17,sk142,,,<--,662, BFO-boo-1, mpp,9524,,,,,,,
pf,9571,CRT,TRUE,'has-temporal-part',sk142,sk142,,,<--,662, BFO-boo-1, mpp,9525,,,,,,,
pf,9570,CRT,TRUE,entity,sk142,,,,<--,824, BFO-vgn-1, mpp,9526,,,,,,,
pf,9569,CRT,TRUE,'exists-at',sk17,sk142,,,<--,356, BFO-ybr-1, mpp,9529,9527,,,,,,
pf,9568,CRT,TRUE,identical,sk142,sk142,,,<--,351, BFO-xlu-1, mpp,9528,9528,,,,,,
pf,9567,CRT,TRUE,'has-occurrent-part',sk142,sk142,,,<--,346, BFO-yvi-1, mpp,9528,,,,,,,
pf,9566,CRT,TRUE,'has-occurrent-part',sk17,sk142,,,<--,346, BFO-yvi-1, mpp,9529,,,,,,,
pf,9565,CRT,TRUE,'exists-at',a,sk17,,,<--,270, BFO-bee-1, mpp,87,232,9531,,,,,
pf,9564,CRT,TRUE,'instance-of',a,continuant,sk51,,<--,254, BFO-qaf-1, mpp,9536,9531,,,,,,
pf,9563,CRT,TRUE,overlaps,a,a,sk142,,<--,3, BFOCE-unmarked, mpp,9533,9533,,,,,,
pf,9562,CRT,TRUE,'instance-of',a,continuant,sk142,,<--,211, BFO-bdd-1, mpp,9533,,,,,,,
pf,9561,CRT,TRUE,'has-continuant-part',a,a,sk142,,<--,187, BFO-eld-1, mpp,9533,,,,,,,
pf,9560,CRT,TRUE,overlaps,a,a,sk144,,<--,3, BFOCE-unmarked, mpp,9534,9534,,,,,,
pf,9559,CRT,TRUE,'instance-of',a,continuant,sk144,,<--,211, BFO-bdd-1, mpp,9534,,,,,,,
pf,9558,CRT,TRUE,'has-continuant-part',a,a,sk144,,<--,187, BFO-eld-1, mpp,9534,,,,,,,
pf,9557,CRT,TRUE,'has-temporal-part',sk17,sk51,,,<--,662, BFO-boo-1, mpp,9536,,,,,,,
pf,9556,CRT,TRUE,'has-temporal-part',sk51,sk51,,,<--,662, BFO-boo-1, mpp,9537,,,,,,,
pf,9555,CRT,TRUE,entity,sk51,,,,<--,824, BFO-vgn-1, mpp,9538,,,,,,,
pf,9554,CRT,TRUE,'exists-at',sk17,sk51,,,<--,356, BFO-ybr-1, mpp,9540,9539,,,,,,
pf,9553,CRT,TRUE,'has-occurrent-part',sk17,sk51,,,<--,346, BFO-yvi-1, mpp,9540,,,,,,,
pf,9552,CRT,TRUE,identical,sk51,sk51,,,<--,351, BFO-xlu-1, mpp,9541,9541,,,,,,
pf,9551,CRT,TRUE,'has-occurrent-part',sk51,sk51,,,<--,346, BFO-yvi-1, mpp,9541,,,,,,,
pf,9550,CRT,TRUE,'has-temporal-part',sk40,sk40,,,<--,662, BFO-boo-1, mpp,9543,,,,,,,
pf,9549,CRT,TRUE,entity,sk40,,,,<--,824, BFO-vgn-1, mpp,9544,,,,,,,
pf,9548,CRT,TRUE,identical,sk40,sk40,,,<--,351, BFO-xlu-1, mpp,9546,9546,,,,,,
pf,9547,CRT,TRUE,'has-occurrent-part',sk40,sk40,,,<--,346, BFO-yvi-1, mpp,9546,,,,,,,
pf,9546,CRT,TRUE,'occurrent-part-of',sk40,sk40,,,<--,369, BFO-cmy-2, mpp,9543,1365,1365,,,,,
pf,9545,CRT,TRUE,'exists-at',sk40,sk40,,,<--,270, BFO-bee-1, mpp,52,1365,1365,,,,,
pf,9544,CRT,TRUE,'instance-of',sk40,occurrent,sk40,,<--,793, BFO-ejl-1, mpp,1365,,,,,,,
pf,9543,CRT,TRUE,'temporal-part-of',sk40,sk40,,,<--,665, BFO-dbj-2, mpp,1365,,,,,,,
pf,9542,CRT,TRUE,particular,sk40,,,,<--,256, BFO-oap-1, mpp,1366,,,,,,,
pf,9541,CRT,TRUE,'occurrent-part-of',sk51,sk51,,,<--,369, BFO-cmy-2, mpp,9537,1598,1598,,,,,
pf,9540,CRT,TRUE,'occurrent-part-of',sk51,sk17,,,<--,369, BFO-cmy-2, mpp,9536,232,1598,,,,,
pf,9539,CRT,TRUE,'exists-at',sk51,sk51,,,<--,270, BFO-bee-1, mpp,52,1598,1598,,,,,
pf,9538,CRT,TRUE,'instance-of',sk51,occurrent,sk51,,<--,793, BFO-ejl-1, mpp,1598,,,,,,,
pf,9537,CRT,TRUE,'temporal-part-of',sk51,sk51,,,<--,665, BFO-dbj-2, mpp,1598,,,,,,,
pf,9536,CRT,TRUE,'temporal-part-of',sk51,sk17,,,<--,29, BFOCE-ett-02, mpp,230,1599,,,,,,
pf,9535,CRT,TRUE,particular,sk51,,,,<--,256, BFO-oap-1, mpp,1599,,,,,,,
pf,9534,CRT,TRUE,'continuant-part-of',a,a,sk144,,<--,194, BFO-mqp-1, mpp,9517,1717,,,,,,
pf,9533,CRT,TRUE,'continuant-part-of',a,a,sk142,,<--,194, BFO-mqp-1, mpp,9524,1717,,,,,,
pf,9532,CRT,TRUE,overlaps,a,a,sk17,,<--,3, BFOCE-unmarked, mpp,1717,1717,,,,,,
pf,9531,CRT,TRUE,'instance-of',a,continuant,sk17,,<--,211, BFO-bdd-1, mpp,1717,,,,,,,
pf,9530,CRT,TRUE,'has-continuant-part',a,a,sk17,,<--,187, BFO-eld-1, mpp,1717,,,,,,,
pf,9529,CRT,TRUE,'occurrent-part-of',sk142,sk17,,,<--,369, BFO-cmy-2, mpp,9524,232,4749,,,,,
pf,9528,CRT,TRUE,'occurrent-part-of',sk142,sk142,,,<--,369, BFO-cmy-2, mpp,9525,4749,4749,,,,,
pf,9527,CRT,TRUE,'exists-at',sk142,sk142,,,<--,270, BFO-bee-1, mpp,52,4749,4749,,,,,
pf,9526,CRT,TRUE,'instance-of',sk142,occurrent,sk142,,<--,793, BFO-ejl-1, mpp,4749,,,,,,,
pf,9525,CRT,TRUE,'temporal-part-of',sk142,sk142,,,<--,665, BFO-dbj-2, mpp,4749,,,,,,,
pf,9524,CRT,TRUE,'temporal-part-of',sk142,sk17,,,<--,29, BFOCE-ett-02, mpp,230,4750,,,,,,
pf,9523,CRT,TRUE,particular,sk142,,,,<--,256, BFO-oap-1, mpp,4750,,,,,,,
pf,9522,CRT,TRUE,'occurrent-part-of',sk144,sk17,,,<--,369, BFO-cmy-2, mpp,9517,232,4825,,,,,
pf,9521,CRT,TRUE,'occurrent-part-of',sk144,sk144,,,<--,369, BFO-cmy-2, mpp,9518,4825,4825,,,,,
pf,9520,CRT,TRUE,'exists-at',sk144,sk144,,,<--,270, BFO-bee-1, mpp,52,4825,4825,,,,,
pf,9519,CRT,TRUE,'instance-of',sk144,occurrent,sk144,,<--,793, BFO-ejl-1, mpp,4825,,,,,,,
pf,9518,CRT,TRUE,'temporal-part-of',sk144,sk144,,,<--,665, BFO-dbj-2, mpp,4825,,,,,,,
pf,9517,CRT,TRUE,'temporal-part-of',sk144,sk17,,,<--,29, BFOCE-ett-02, mpp,230,4826,,,,,,
pf,9516,CRT,TRUE,particular,sk144,,,,<--,256, BFO-oap-1, mpp,4826,,,,,,,
pf,9515,CRT,TRUE,'occurrent-part-of',sk162,sk162,,,<--,369, BFO-cmy-2, mpp,9512,5536,5536,,,,,
pf,9514,CRT,TRUE,'exists-at',sk162,sk162,,,<--,270, BFO-bee-1, mpp,52,5536,5536,,,,,
pf,9513,CRT,TRUE,'instance-of',sk162,occurrent,sk162,,<--,793, BFO-ejl-1, mpp,5536,,,,,,,
pf,9512,CRT,TRUE,'temporal-part-of',sk162,sk162,,,<--,665, BFO-dbj-2, mpp,5536,,,,,,,
pf,9511,CRT,TRUE,'continuant-part-of',a,a,sk162,,<--,189, BFO-mcd-1, mpp,5983,,,,,,,
pf,9510,CRT,TRUE,'occurrent-part-of',sk179,sk179,,,<--,369, BFO-cmy-2, mpp,9507,6936,6936,,,,,
