pf,10155,CRT,FALSE,'proper-temporal-part-of',sk176,sk176,,,<--,675, BFO-aeu-1, mpt,10125,,,,
pf,10154,CRT,FALSE,'proper-occurrent-part-of',sk193,sk193,,,<--,353, BFO-okr-1, mpt,10130,,,,
pf,10153,CRT,FALSE,'proper-temporal-part-of',sk193,sk193,,,<--,675, BFO-aeu-1, mpt,10130,,,,
pf,10152,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk20,,<--,857, BFO-cig-1, mpt,10134,,,,
pf,10151,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk20,,<--,859, BFO-cig-1, mpt,10134,,,,
pf,10150,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk158,,<--,857, BFO-cig-1, mpt,10138,,,,
pf,10149,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk158,,<--,859, BFO-cig-1, mpt,10138,,,,
pf,10148,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk156,,<--,857, BFO-cig-1, mpt,10139,,,,
pf,10147,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk156,,<--,859, BFO-cig-1, mpt,10139,,,,
pf,10146,CRT,FALSE,'instance-of',a,'specifically-dependent-continuant',sk55,,<--,857, BFO-cig-1, mpt,10140,,,,
pf,10145,CRT,FALSE,'instance-of',a,'generically-dependent-continuant',sk55,,<--,859, BFO-cig-1, mpt,10140,,,,
pf,10144,CRT,FALSE,'proper-continuant-part-of',a,a,sk55,,<--,197, BFO-sls-1, mpt,10141,,,,
pf,10143,CRT,TRUE,overlaps,a,a,sk55,,<--,3, BFOCE-unmarked, mpp,10141,10141,,,
pf,10142,CRT,TRUE,'has-continuant-part',a,a,sk55,,<--,187, BFO-eld-1, mpp,10141,,,,
pf,10141,CRT,TRUE,'continuant-part-of',a,a,sk55,,<--,189, BFO-mcd-1, mpp,10140,,,,
pf,10140,CRT,TRUE,'instance-of',a,'independent-continuant',sk55,,<--,841, BFO-otk-1, mpp,10139,10135,,,
pf,10139,CRT,TRUE,'instance-of',a,'independent-continuant',sk156,,<--,841, BFO-otk-1, mpp,10138,10136,,,
pf,10138,CRT,TRUE,'instance-of',a,'independent-continuant',sk158,,<--,841, BFO-otk-1, mpp,7828,10137,,,
pf,10137,CRT,TRUE,'exists-at',a,sk158,,,<--,270, BFO-bee-1, mpp,84,5148,10103,,
pf,10136,CRT,TRUE,'exists-at',a,sk156,,,<--,270, BFO-bee-1, mpp,84,5072,10106,,
pf,10135,CRT,TRUE,'exists-at',a,sk55,,,<--,270, BFO-bee-1, mpp,84,1588,10108,,
pf,10134,CRT,TRUE,'instance-of',a,'independent-continuant',sk20,,<--,841, BFO-otk-1, mpp,7828,10109,,,
pf,10133,CRT,TRUE,'has-continuant-part',a,a,sk193,,<--,187, BFO-eld-1, mpp,10050,,,,
pf,10132,CRT,TRUE,'has-temporal-part',sk193,sk193,,,<--,662, BFO-boo-1, mpp,10051,,,,
pf,10131,CRT,TRUE,entity,sk193,,,,<--,824, BFO-vgn-1, mpp,10052,,,,
pf,10130,CRT,TRUE,identical,sk193,sk193,,,<--,351, BFO-xlu-1, mpp,10054,10054,,,
pf,10129,CRT,TRUE,'has-occurrent-part',sk193,sk193,,,<--,346, BFO-yvi-1, mpp,10054,,,,
pf,10128,CRT,TRUE,'has-continuant-part',a,a,sk176,,<--,187, BFO-eld-1, mpp,10055,,,,
pf,10127,CRT,TRUE,'has-temporal-part',sk176,sk176,,,<--,662, BFO-boo-1, mpp,10056,,,,
pf,10126,CRT,TRUE,entity,sk176,,,,<--,824, BFO-vgn-1, mpp,10057,,,,
pf,10125,CRT,TRUE,identical,sk176,sk176,,,<--,351, BFO-xlu-1, mpp,10059,10059,,,
pf,10124,CRT,TRUE,'has-occurrent-part',sk176,sk176,,,<--,346, BFO-yvi-1, mpp,10059,,,,
pf,10123,CRT,TRUE,'has-temporal-part',sk20,sk158,,,<--,662, BFO-boo-1, mpp,10061,,,,
